,Unnamed: 0,id,index,song_gn_dtl_gnr_basket,issue_date,album_name,album_id,artist_id_basket,song_name,song_gn_gnr_basket,artist_name_basket,img_url
18,18,520177,520177,"['GN0908', 'GN0901']",20200228,u know it&#39;s real,10395195,[2755664],U Know It&#39;s Real,['GN0900'],['Ant Saunders'],https://musicmeta-phinf.pstatic.net/album/002/055/2055539.jpg?type=r360Fll&v=20191004083310
19,19,388089,388089,"['GN0908', 'GN0901']",20200228,Nobody&#39;s Lover (feat. Lord Siva),10395276,[837357],Nobody&#39;s Lover (feat. Lord Siva),['GN0900'],['Clara'],https://musicmeta-phinf.pstatic.net/album/003/464/3464703.jpg?type=r360Fll&v=20200218153210
20,20,409625,409625,['GN0901'],20200228,VCR,10395299,[1628315],VCR,['GN0900'],['M.I.L.K.'],https://musicmeta-phinf.pstatic.net/album/000/194/194478.jpg?type=r360Fll&v=20190312113023
23,21,274719,274719,"['GN0908', 'GN0901']",20200228,Don&#39;t Believe In Love,10395342,[41359],Don&#39;t Believe In Love,['GN0900'],['Sheppard'],https://musicmeta-phinf.pstatic.net/album/000/648/648355.jpg?type=r360Fll&v=20191217135412
24,22,570357,570357,['GN0901'],20200225,Hard to Say (feat. I.E.),10395359,[2138438],Hard to Say (feat. I.E.),['GN0900'],['GRAACE'],https://musicmeta-phinf.pstatic.net/album/004/467/4467331.jpg?type=r360Fll&v=20200228115931
25,23,258956,258956,"['GN0908', 'GN0901']",20200228,Fabulous,10395715,[1815510],Fabulous,['GN0900'],['Ally Brooke'],https://musicmeta-phinf.pstatic.net/album/004/469/4469005.jpg?type=r360Fll&v=20200302124215
28,25,342116,342116,"['GN0908', 'GN0901']",20200302,GITY,10396363,[1643929],GITY,['GN0900'],['Chymes'],https://musicmeta-phinf.pstatic.net/album/004/470/4470781.jpg?type=r360Fll&v=20200302180409
29,26,587463,587463,['GN1101'],20200303,Look At Us Now Dad,10396694,[2796377],Tennis Fan (feat. Empress Of),['GN0900'],['Banoffee'],https://musicmeta-phinf.pstatic.net/album/004/471/4471226.jpg?type=r360Fll&v=20200303115924
30,27,438327,438327,"['GN0908', 'GN0901']",20200305,Nikes On,10398494,[2119940],Nikes On,['GN0900'],['Healy'],https://musicmeta-phinf.pstatic.net/album/004/475/4475230.jpg?type=r360Fll&v=20200305115925
31,28,25767,25767,['GN0901'],20200306,Alone With You,10398602,[2748238],Alone With You (Feat. AlunaGeorge),['GN0900'],['Kito'],https://musicmeta-phinf.pstatic.net/album/004/564/4564836.jpg?type=r360Fll&v=20200515115941
32,29,481009,481009,"['GN0908', 'GN0901']",20200306,Spring Break (feat. Rich The Kid),10398608,[2189633],Spring Break (feat. Rich The Kid),['GN0900'],['AJ Mitchell'],https://musicmeta-phinf.pstatic.net/album/004/476/4476374.jpg?type=r360Fll&v=20200306124415
33,30,529425,529425,['GN0901'],20200306,Flashback,10399204,[1459171],Flashback,['GN0900'],['Beatrich'],https://musicmeta-phinf.pstatic.net/album/000/494/494782.jpg?type=r360Fll&v=20190926043215
34,12611,268446,268446,"['GN1004', 'GN1013', 'GN1001']",20001121,Flashback,333189,[103732],Mr. Blue Sky,['GN1000'],['Electric Light Orchestra'],https://musicmeta-phinf.pstatic.net/album/000/494/494782.jpg?type=r360Fll&v=20190926043215
35,31,621033,621033,"['GN0908', 'GN0901']",20200417,I Got You,10399595,[1956860],Young & Alive,['GN0900'],['Bazzi'],https://musicmeta-phinf.pstatic.net/album/004/477/4477357.jpg?type=r360Fll&v=20200420141709
38,83,247927,247927,"['GN0908', 'GN0901']",20200417,I Got You,10399595,[1956860],Renee&#39;s Song,['GN0900'],['Bazzi'],https://musicmeta-phinf.pstatic.net/album/004/477/4477357.jpg?type=r360Fll&v=20200420141709
39,4899,27420,27420,['GN0901'],20100301,I Got You,845965,[231799],Heartbeat,['GN0900'],['Leona Lewis'],https://musicmeta-phinf.pstatic.net/album/004/477/4477357.jpg?type=r360Fll&v=20200420141709
40,34,518481,518481,['GN0901'],20200313,Flash,10400057,[944408],Tricky (feat. Sabrina Carpenter),['GN0900'],['Shoffy'],https://musicmeta-phinf.pstatic.net/album/004/478/4478430.jpg?type=r360Fll&v=20200316165045
41,35,96298,96298,['GN0901'],20200310,L.O.V.E.,10400334,[1225827],L.O.V.E.,['GN0900'],['Macy Kate'],https://musicmeta-phinf.pstatic.net/album/003/063/3063861.jpg?type=r360Fll&v=20190610140540
42,36,382435,382435,"['GN0908', 'GN0901']",20200311,Bad Child/Can&#39;t Be Happy All The Time,10401474,[2742009],Bad Child,['GN0900'],['Tones And I'],None
43,37,649213,649213,"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20200313,Have U Seen Her? (Part II),10401694,[967971],Stay All Night,"['GN2700', 'GN1100']",['Alma'],https://musicmeta-phinf.pstatic.net/album/004/483/4483783.jpg?type=r360Fll&v=20200318113746
44,38,212859,212859,"['GN0908', 'GN0901']",20200313,How To Be Lonely,10401738,[690612],How To Be Lonely,['GN0900'],['Rita Ora'],https://musicmeta-phinf.pstatic.net/album/004/483/4483826.jpg?type=r360Fll&v=20200421172708
45,39,37254,37254,"['GN0908', 'GN0901']",20200312,Kings & Queens,10401809,[2137864],Kings & Queens,['GN0900'],['Ava Max'],https://musicmeta-phinf.pstatic.net/album/002/291/2291826.jpg?type=r360Fll&v=20200110181723
47,41,526953,526953,"['GN0908', 'GN0901']",20200313,Jealous,10401943,[723901],Jealous,['GN0900'],['Lennon Stella'],https://musicmeta-phinf.pstatic.net/album/000/465/465822.jpg?type=r360Fll&v=20141124143403
50,42,502224,502224,"['GN0908', 'GN0901']",20200313,Worry About Me,10401990,"[464683, 1024206]",Worry About Me,['GN0900'],"['Ellie Goulding', 'blackbear']",https://musicmeta-phinf.pstatic.net/album/004/482/4482670.jpg?type=r360Fll&v=20200313000014
52,44,144941,144941,['GN0901'],20200313,Forever,10402162,[2631514],Forever,['GN0900'],['FLETCHER'],https://musicmeta-phinf.pstatic.net/album/004/482/4482566.jpg?type=r360Fll&v=20200319095306
59,46,463850,463850,"['GN0908', 'GN0901']",20200313,Arms Around Me,10402239,[993887],Arms Around Me,['GN0900'],['Starley'],https://musicmeta-phinf.pstatic.net/album/004/548/4548277.jpg?type=r360Fll&v=20200504115920
60,47,217952,217952,"['GN0908', 'GN0901']",20200313,Jealous of Myself,10402396,[2747078],Jealous of Myself,['GN0900'],['GALXARA'],https://musicmeta-phinf.pstatic.net/album/004/484/4484494.jpg?type=r360Fll&v=20200313115941
61,48,285826,285826,"['GN0908', 'GN0901']",20200317,I Believe In You (Feat. Francis and The Lights),10403620,[894835],I Believe In You (Feat. Francis and The Lights),['GN0900'],['Kacy Hill'],https://musicmeta-phinf.pstatic.net/album/004/487/4487546.jpg?type=r360Fll&v=20200317115922
62,49,431974,431974,"['GN0908', 'GN0901']",20200320,Pedestrian,10404593,[2755664],Pedestrian,['GN0900'],['Ant Saunders'],https://musicmeta-phinf.pstatic.net/album/001/133/1133273.jpg?type=r360Fll&v=20181013235011
63,50,488837,488837,"['GN0908', 'GN0901']",20200320,Obvious,10404641,[2191881],Obvious,['GN0900'],['Chloe Lilac'],https://musicmeta-phinf.pstatic.net/album/004/491/4491566.jpg?type=r360Fll&v=20200507151307
64,51,208068,208068,['GN0901'],20200320,Kitchen Table,10404658,[2287454],Kitchen Table,['GN0900'],['Ea Kaya'],https://musicmeta-phinf.pstatic.net/album/000/623/623778.jpg?type=r360Fll&v=20200110183734
65,52,336281,336281,"['GN0908', 'GN0901']",20200319,Lies,10404839,[1908979],Lies,['GN0900'],['Will Jay'],https://musicmeta-phinf.pstatic.net/album/004/464/4464901.jpg?type=r360Fll&v=20200228121242
66,53,238669,238669,"['GN0908', 'GN0901']",20200320,Bang My Head,10405211,"[2297195, 2860480]",Bang My Head,['GN0900'],"['Kiddo', 'JIM OUMA']",https://musicmeta-phinf.pstatic.net/album/000/594/594635.jpg?type=r360Fll&v=20151102092701
67,54,94648,94648,"['GN0908', 'GN0901']",20200320,Kid Krow,10405226,[2398189],Wish You Were Sober,['GN0900'],['Conan Gray'],https://musicmeta-phinf.pstatic.net/album/004/490/4490647.jpg?type=r360Fll&v=20200413163309
68,15565,268147,268147,['GN0901'],20200320,Kid Krow,10405226,[2398189],Affluenza,['GN0900'],['Conan Gray'],https://musicmeta-phinf.pstatic.net/album/004/490/4490647.jpg?type=r360Fll&v=20200413163309
69,55,601447,601447,['GN0901'],20200320,Friday,10405668,[2398167],Friday,['GN0900'],['Theresa Rex'],https://musicmeta-phinf.pstatic.net/album/000/326/326945.jpg?type=r360Fll&v=20181212184643
70,56,34552,34552,['GN0901'],20200320,Lemoncholy,10405734,[2747104],Tongue Tied,['GN0900'],['WENS'],https://musicmeta-phinf.pstatic.net/album/001/982/1982399.jpg?type=r360Fll&v=20181012093633
71,57,384449,384449,"['GN0908', 'GN0901']",20200320,ANIMAL CROSSING,10405806,"[2024646, 729270]",ANIMAL CROSSING,['GN0900'],"['Shawn Wasabi', 'Sophia Black']",https://musicmeta-phinf.pstatic.net/album/004/492/4492666.jpg?type=r360Fll&v=20200320123013
72,58,74430,74430,"['GN0908', 'GN0901']",20200320,Baby Girl (feat. Jeremih),10405846,[771842],Baby Girl (feat. Jeremih),['GN0900'],['Bryce Vine'],https://musicmeta-phinf.pstatic.net/album/004/492/4492483.jpg?type=r360Fll&v=20200320115931
73,59,434095,434095,"['GN0908', 'GN0901']",20200323,VELVET,10406490,[415441],Superpower,['GN0900'],['Adam Lambert'],https://musicmeta-phinf.pstatic.net/album/003/948/3948913.jpg?type=r360Fll&v=20200218131211
76,62,661211,661211,"['GN0908', 'GN0901']",20200324,"And Now, We&#39;re Shining",10406603,[1625378],If It Was Me,['GN0900'],['Sarah Close'],https://musicmeta-phinf.pstatic.net/album/000/301/301731.jpg?type=r360Fll&v=20180910141219
77,63,386808,386808,['GN0901'],20200324,bandaids,10406646,[2402797],blue,['GN0900'],['keshi'],https://musicmeta-phinf.pstatic.net/album/004/494/4494942.jpg?type=r360Fll&v=20200420102809
78,64,313326,313326,"['GN0908', 'GN0901']",20200326,I Love You’s,10407198,[881737],I Love You&#39;s,['GN0900'],['Hailee Steinfeld'],https://musicmeta-phinf.pstatic.net/album/004/496/4496633.jpg?type=r360Fll&v=20200423165007
80,66,191130,191130,"['GN0908', 'GN0901']",20200327,Bad Intentions,10407970,[1543290],Bad Intentions,['GN0900'],['Alexander Oscar'],https://musicmeta-phinf.pstatic.net/album/004/497/4497808.jpg?type=r360Fll&v=20200327000008
82,68,443160,443160,"['GN0908', 'GN0901']",20200326,Future Nostalgia,10345880,[889721],Break My Heart,['GN0900'],['Dua Lipa'],https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
87,750,62174,62174,"['GN0908', 'GN0901']",20191101,Future Nostalgia,10345880,[889721],Don&#39;t Start Now,['GN0900'],['Dua Lipa'],https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
91,782,105789,105789,"['GN0908', 'GN0901']",20200130,Future Nostalgia,10345880,[889721],Physical,['GN0900'],['Dua Lipa'],https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
95,13741,655937,655937,['GN0901'],20200327,Future Nostalgia,10345880,[889721],Love Again,['GN0900'],['Dua Lipa'],https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
96,13742,52626,52626,"['GN0908', 'GN0901']",20200327,Future Nostalgia,10345880,[889721],Good In Bed,['GN0900'],['Dua Lipa'],https://musicmeta-phinf.pstatic.net/album/003/391/3391998.jpg?type=r360Fll&v=20200327115932
97,73,660095,660095,"['GN0908', 'GN0901']",20200327,Y U Gotta B Like That (feat. KYLE),10408375,[2752661],Y U Gotta B Like That (feat. KYLE),['GN0900'],['Audrey Mika'],https://musicmeta-phinf.pstatic.net/album/004/498/4498573.jpg?type=r360Fll&v=20200327115933
98,74,613158,613158,"['GN0908', 'GN0901']",20200327,SADBOI,10408417,[780416],Invisible,['GN0900'],['Bars & Melody'],https://musicmeta-phinf.pstatic.net/album/004/497/4497899.jpg?type=r360Fll&v=20200327112029
100,11119,643817,643817,['GN0901'],20200327,CALM,10408680,[765084],No Shame,['GN0900'],['5 Seconds Of Summer'],https://musicmeta-phinf.pstatic.net/album/004/498/4498603.jpg?type=r360Fll&v=20200420102809
101,76,674508,674508,"['GN0908', 'GN0901']",20200327,cherry wine,10408689,[2764641],cherry wine,['GN0900'],['Zachary Knowles'],https://musicmeta-phinf.pstatic.net/album/000/638/638316.jpg?type=r360Fll&v=20170221170415
102,77,620511,620511,['GN0901'],20200327,Somebody Like You,10408758,[41359],Somebody Like You,['GN0900'],['Sheppard'],https://musicmeta-phinf.pstatic.net/album/002/316/2316453.jpg?type=r360Fll&v=20180110120309
104,78,474340,474340,"['GN0908', 'GN0901']",20200327,Back in the Game,10408814,[2295598],Back in the Game,['GN0900'],['Peder Elias'],https://musicmeta-phinf.pstatic.net/album/004/499/4499705.jpg?type=r360Fll&v=20200327164708
105,79,229518,229518,"['GN0908', 'GN0901']",20200327,Knew You,10408828,[2059173],Knew You,['GN0900'],['Kailee Morgue'],https://musicmeta-phinf.pstatic.net/album/002/383/2383279.jpg?type=r360Fll&v=20191020093404
106,80,46763,46763,"['GN0908', 'GN0901']",20200327,Break Up Song,10409041,[602511],Break Up Song,['GN0900'],['Little Mix'],https://musicmeta-phinf.pstatic.net/album/004/498/4498541.jpg?type=r360Fll&v=20200327115937
108,82,171234,171234,['GN0901'],20200403,A Few More Hours at YYZ (EP),10410986,[1703766],Swimming in the Deep End,['GN0900'],['Billy Raffoul'],None
109,84,1226,1226,"['GN0908', 'GN0901']",20200403,BUBBLE,10354492,[2755664],MISCOMMUNICATIONS,['GN0900'],['Ant Saunders'],https://musicmeta-phinf.pstatic.net/album/003/453/3453053.jpg?type=r360Fll&v=20200403151550
110,85,330380,330380,"['GN0908', 'GN0901']",20200403,Facade,10412191,[992254],Facade,['GN0900'],['Jesper Jenset'],https://musicmeta-phinf.pstatic.net/album/000/330/330636.jpg?type=r360Fll&v=20161127020859
111,86,659629,659629,"['GN0908', 'GN0901', 'GN0902']",20200403,Stained Glass,10412200,[735254],Stained Glass,['GN0900'],['Madison Beer'],https://musicmeta-phinf.pstatic.net/album/004/507/4507832.jpg?type=r360Fll&v=20200403115944
112,87,37876,37876,"['GN0908', 'GN0901']",20200403,Fuck My Friends,10412266,[2862711],Fuck My Friends,['GN0900'],['Eddie Benjamin'],https://musicmeta-phinf.pstatic.net/album/004/507/4507858.jpg?type=r360Fll&v=20200403115944
114,89,346225,346225,"['GN0908', 'GN0901']",20200403,Boys Ain&#39;t Shit,10412277,[2750609],Boys Ain&#39;t Shit  (feat. Tate McRae & Audrey Mika),['GN0900'],['SAYGRACE'],https://musicmeta-phinf.pstatic.net/album/000/932/932053.jpg?type=r360Fll&v=20181013204418
115,90,530198,530198,"['GN0908', 'GN0901']",20200403,MESS,10412307,[1957295],MESS,['GN0900'],['Jasmine Sokko'],https://musicmeta-phinf.pstatic.net/album/004/507/4507631.jpg?type=r360Fll&v=20200406183112
116,91,650049,650049,['GN0901'],20200403,Run Into You,10412314,[1460030],Run Into You,['GN0900'],['Clara Mae'],https://musicmeta-phinf.pstatic.net/album/004/562/4562051.jpg?type=r360Fll&v=20200513102908
117,92,135694,135694,"['GN0908', 'GN0901']",20200403,Balloons (feat. Tank),10412315,[2630709],Balloons (feat. Tank),['GN0900'],['Conor Matthews'],https://musicmeta-phinf.pstatic.net/album/004/507/4507627.jpg?type=r360Fll&v=20200406182907
118,93,65980,65980,['GN0901'],20200406,Somebody Else,10412425,[1703776],Somebody Else,['GN0900'],['Loote'],https://musicmeta-phinf.pstatic.net/album/004/508/4508464.jpg?type=r360Fll&v=20200406115924
119,94,660988,660988,"['GN0908', 'GN0901']",20200407,Hold You Tonight,10413152,"[944462, 916113]",Hold You Tonight,['GN0900'],"['Gryffin', 'Chris Lane']",https://musicmeta-phinf.pstatic.net/album/004/510/4510365.jpg?type=r360Fll&v=20200407122209
120,95,27563,27563,"['GN0908', 'GN0901']",20200408,"I miss you, I’m sorry",10413502,[2751845],"I miss you, I’m sorry",['GN0900'],['Gracie Abrams'],https://musicmeta-phinf.pstatic.net/album/004/513/4513718.jpg?type=r360Fll&v=20200423165007
121,96,193194,193194,"['GN0908', 'GN0901']",20200408,On My Conscience,10413579,[2058934],Party Shit / Misbehaving,['GN0900'],['Foley'],https://musicmeta-phinf.pstatic.net/album/001/405/1405584.jpg?type=r360Fll&v=20181012184955
122,97,423564,423564,"['GN0908', 'GN0901']",20200409,Imagine U,10414164,[2635315],Imagine U,['GN0900'],['Omar Apollo'],https://musicmeta-phinf.pstatic.net/album/004/512/4512867.jpg?type=r360Fll&v=20200409164907
123,98,152861,152861,"['GN0908', 'GN0901']",20200409,Trust,10414203,[2062266],Trust,['GN0900'],['Ayelle'],https://musicmeta-phinf.pstatic.net/album/002/006/2006716.jpg?type=r360Fll&v=20170519120313
127,6003,323090,323090,"['GN1301', 'GN1302']",20170217,Trust,10039430,[881460],Naked,['GN1300'],['Will Heard'],https://musicmeta-phinf.pstatic.net/album/002/006/2006716.jpg?type=r360Fll&v=20170519120313
129,17249,158303,158303,"['GN1301', 'GN1302']",20170217,Trust,10039430,[881460],I Better Love You,['GN1300'],['Will Heard'],https://musicmeta-phinf.pstatic.net/album/002/006/2006716.jpg?type=r360Fll&v=20170519120313
130,17250,162836,162836,"['GN1301', 'GN1302']",20170217,Trust,10039430,[881460],Beep Me,['GN1300'],['Will Heard'],https://musicmeta-phinf.pstatic.net/album/002/006/2006716.jpg?type=r360Fll&v=20170519120313
131,99,168835,168835,['GN0901'],20200410,nothing2prove,10414379,[2764636],nothing2prove,['GN0900'],['lilspirit'],https://musicmeta-phinf.pstatic.net/album/004/398/4398903.jpg?type=r360Fll&v=20200107100214
132,100,216327,216327,['GN0901'],20200410,Karate,10414404,[2643815],Karate,['GN0900'],['Drama Relax'],https://musicmeta-phinf.pstatic.net/album/000/559/559343.jpg?type=r360Fll&v=20190108113537
133,4967,307931,307931,"['GN1103', 'GN1104', 'GN2704', 'GN1102', 'GN1101']",20141229,Karate,2304513,"[354694, 772152]",Karate (Original Mix),"['GN2700', 'GN1100']","['R3hab', 'Kshmr']",https://musicmeta-phinf.pstatic.net/album/000/559/559343.jpg?type=r360Fll&v=20190108113537
137,101,658205,658205,['GN0901'],20200410,Remember Me (feat. BIA),10414902,[719229],Remember Me (feat. BIA),['GN0900'],['Dove Cameron'],https://musicmeta-phinf.pstatic.net/album/004/515/4515662.jpg?type=r360Fll&v=20200410115933
138,102,381217,381217,"['GN1105', 'GN1101', 'GN1109']",20200410,Ideas,10414915,[1956699],Ideas,['GN1100'],['Au/Ra'],https://musicmeta-phinf.pstatic.net/album/004/582/4582111.jpg?type=r360Fll&v=20200529115940
139,103,272203,272203,"['GN0904', 'GN0908', 'GN0901']",20200410,MAMACITA,10414920,"[107538, 983766, 2863769]",MAMACITA,['GN0900'],"['Black Eyed Peas', 'Ozuna', 'J. Rey Soul']",https://musicmeta-phinf.pstatic.net/album/004/515/4515533.jpg?type=r360Fll&v=20200410115937
140,104,376518,376518,['GN0901'],20200410,LOUD,10414934,"[991601, 2741934]",LOUD,['GN0900'],"['Dan Bravo', 'J.O.Y']",https://musicmeta-phinf.pstatic.net/album/000/182/182555.jpg?type=r360Fll&v=20200302133707
141,105,62438,62438,"['GN0908', 'GN0901']",20200408,Knocked Me Off My Feet,10415021,[2242893],Knocked Me Off My Feet,['GN0900'],['Christian Lalama (크리스티안 라라마)'],https://musicmeta-phinf.pstatic.net/album/004/514/4514233.jpg?type=r360Fll&v=20200414113211
142,106,695548,695548,['GN0901'],20200409,Time,10415158,[2621329],Time,['GN0900'],['Stonefox'],https://musicmeta-phinf.pstatic.net/album/000/458/458753.jpg?type=r360Fll&v=20200325154909
143,6200,209088,209088,['GN0301'],20070425,Time,350113,[169233],My Soul,['GN0300'],['July'],https://musicmeta-phinf.pstatic.net/album/000/458/458753.jpg?type=r360Fll&v=20200325154909
145,107,139352,139352,['GN0901'],20200409,Rare (Deluxe),10415637,[402544],Boyfriend,['GN0900'],['Selena Gomez'],https://musicmeta-phinf.pstatic.net/album/004/515/4515808.jpg?type=r360Fll&v=20200420102607
146,108,243860,243860,"['GN0908', 'GN0901']",20200410,Three. Two. One.,10415652,[723901],Fear Of Being Alone,['GN0900'],['Lennon Stella'],https://musicmeta-phinf.pstatic.net/album/004/515/4515958.jpg?type=r360Fll&v=20200430123409
147,109,699594,699594,"['GN0908', 'GN0901']",20200409,Six Feet Apart,10415665,[790155],Six Feet Apart,['GN0900'],['Alec Benjamin'],https://musicmeta-phinf.pstatic.net/album/004/515/4515971.jpg?type=r360Fll&v=20200414113411
148,110,50766,50766,"['GN0908', 'GN0901']",20200417,I&#39;m Ready,10417842,"[718042, 261830]",I&#39;m Ready,['GN0900'],"['Sam Smith', 'Demi Lovato']",https://musicmeta-phinf.pstatic.net/album/000/588/588293.jpg?type=r360Fll&v=20190402184030
149,111,308082,308082,['GN0901'],20200417,Keep On Dancing,10418024,[873372],Keep On Dancing,['GN0900'],['Oh Wonder'],https://musicmeta-phinf.pstatic.net/album/004/521/4521318.jpg?type=r360Fll&v=20200417130209
150,112,695353,695353,"['GN0908', 'GN0901']",20200417,love is not dying,10418034,[1758307],somebody loves you,['GN0900'],['Jeremy Zucker'],https://musicmeta-phinf.pstatic.net/album/004/521/4521277.jpg?type=r360Fll&v=20200515023107
151,113,675366,675366,"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20200417,Freedom (feat. Zak Abel),10408634,[751508],Freedom (feat. Zak Abel),"['GN2700', 'GN1100']",['Kygo'],None
152,789,586070,586070,"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20200403,Freedom (feat. Zak Abel),10408634,"[751508, 829831, 495258]",Like It Is,"['GN2700', 'GN1100']","['Kygo', 'Zara Larsson', 'Tyga']",None
154,114,672813,672813,"['GN0908', 'GN0901']",20200417,Everytime (Cover),10418408,[2189633],Everytime (Cover),['GN0900'],['AJ Mitchell'],https://musicmeta-phinf.pstatic.net/album/004/523/4523725.jpg?type=r360Fll&v=20200417125608
155,115,124214,124214,"['GN0908', 'GN0901']",20200417,i think too much,10418416,[2189547],i think too much,['GN0900'],['Christian French'],https://musicmeta-phinf.pstatic.net/album/004/523/4523577.jpg?type=r360Fll&v=20200417115941
156,116,565131,565131,"['GN2701', 'GN2702', 'GN2703', 'GN1103']",20200417,Details,10418699,[724002],Details (feat. Boy Matthews),"['GN2700', 'GN1100']",['Oliver Heldens'],https://musicmeta-phinf.pstatic.net/album/004/523/4523582.jpg?type=r360Fll&v=20200417115940
158,9921,153786,153786,['GN1001'],20020707,Details,301790,[108823],Breathe In,['GN1000'],['Frou Frou'],https://musicmeta-phinf.pstatic.net/album/004/523/4523582.jpg?type=r360Fll&v=20200417115940
159,118,627457,627457,"['GN0908', 'GN0901']",20200417,Look For The Good (Single Version),10418945,[50775],Look For The Good (Single Version),['GN0900'],['Jason Mraz'],https://musicmeta-phinf.pstatic.net/album/004/523/4523694.jpg?type=r360Fll&v=20200508121608
160,119,228643,228643,"['GN0908', 'GN0901', 'GN0902']",20200416,Gimme Love,10384700,[2019784],Gimme Love,['GN0900'],['Joji'],https://musicmeta-phinf.pstatic.net/album/004/437/4437459.jpg?type=r360Fll&v=20200420141103
161,8057,603368,603368,"['GN0908', 'GN0901', 'GN0902']",20200416,Gimme Love,10384700,[2019784],Run,['GN0900'],['Joji'],https://musicmeta-phinf.pstatic.net/album/004/437/4437459.jpg?type=r360Fll&v=20200420141103
163,120,532771,532771,"['GN1012', 'GN1001']",19940201,Dookie,19749,[100327],Basket Case,['GN1000'],['Green Day'],https://musicmeta-phinf.pstatic.net/album/000/010/10370.jpg?type=r360Fll&v=20191212153935
